Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,1/6/12,16065.49,FALSE
2,1,1/6/12,23076.47,FALSE
3,1,1/6/12,6755.83,FALSE
4,1,1/6/12,27095.99,FALSE
5,1,1/6/12,9442.66,FALSE
6,1,1/6/12,19260.85,FALSE
7,1,1/6/12,7410.18,FALSE
8,1,1/6/12,9660.86,FALSE
9,1,1/6/12,9445.35,FALSE
10,1,1/6/12,24734.89,FALSE
11,1,1/6/12,13757.16,FALSE
12,1,1/6/12,12293.15,FALSE
13,1,1/6/12,38500.4,FALSE
14,1,1/6/12,18029.87,FALSE
15,1,1/6/12,9752.84,FALSE
16,1,1/6/12,8271.52,FALSE
17,1,1/6/12,18853.47,FALSE
18,1,1/6/12,12420.59,FALSE
19,1,1/6/12,14163.72,FALSE
20,1,1/6/12,26796.68,FALSE
21,1,1/6/12,10154.33,FALSE
22,1,1/6/12,12063.4,FALSE
23,1,1/6/12,21489.43,FALSE
24,1,1/6/12,13113.38,FALSE
25,1,1/6/12,10854.97,FALSE
26,1,1/6/12,13772.78,FALSE
27,1,1/6/12,22312.72,FALSE
28,1,1/6/12,15524.99,FALSE
29,1,1/6/12,9512.91,FALSE
30,1,1/6/12,8236.01,FALSE
31,1,1/6/12,14499.54,FALSE
32,1,1/6/12,17644.11,FALSE
33,1,1/6/12,2526.99,FALSE
34,1,1/6/12,14518.16,FALSE
35,1,1/6/12,11256,FALSE
36,1,1/6/12,2344.16,FALSE
37,1,1/6/12,10478.72,FALSE
38,1,1/6/12,6947.87,FALSE
39,1,1/6/12,19040.51,FALSE
40,1,1/6/12,13972.3,FALSE
41,1,1/6/12,20280.67,FALSE
42,1,1/6/12,8240.88,FALSE
43,1,1/6/12,5588.64,FALSE
44,1,1/6/12,7299.46,FALSE
45,1,1/6/12,10629.59,FALSE
1,2,1/6/12,47425.29,FALSE
2,2,1/6/12,64912.65,FALSE
3,2,1/6/12,20482.8,FALSE
4,2,1/6/12,102405.35,FALSE
5,2,1/6/12,13043.85,FALSE
6,2,1/6/12,55522.74,FALSE
7,2,1/6/12,21052.4,FALSE
8,2,1/6/12,35503.37,FALSE
9,2,1/6/12,28086.88,FALSE
10,2,1/6/12,103012.31,FALSE
11,2,1/6/12,56224.06,FALSE
12,2,1/6/12,76278.6,FALSE
13,2,1/6/12,76874.5,FALSE
14,2,1/6/12,77087.5,FALSE
15,2,1/6/12,25057.1,FALSE
16,2,1/6/12,21475.28,FALSE
17,2,1/6/12,41320.51,FALSE
18,2,1/6/12,61268.8,FALSE
19,2,1/6/12,47122.16,FALSE
20,2,1/6/12,79640.36,FALSE
21,2,1/6/12,46619.11,FALSE
22,2,1/6/12,52494.07,FALSE
23,2,1/6/12,72434.02,FALSE
24,2,1/6/12,43755.5,FALSE
25,2,1/6/12,34868.17,FALSE
26,2,1/6/12,24786.21,FALSE
27,2,1/6/12,83540.97,FALSE
28,2,1/6/12,55178.71,FALSE
29,2,1/6/12,26264.11,FALSE
30,2,1/6/12,11765.5,FALSE
31,2,1/6/12,59195.99,FALSE
32,2,1/6/12,49400.38,FALSE
33,2,1/6/12,7476.13,FALSE
34,2,1/6/12,35227.76,FALSE
35,2,1/6/12,48217.98,FALSE
36,2,1/6/12,12631.1,FALSE
37,2,1/6/12,16613.03,FALSE
38,2,1/6/12,11928.82,FALSE
39,2,1/6/12,76571.2,FALSE
40,2,1/6/12,27676.81,FALSE
41,2,1/6/12,49914.1,FALSE
42,2,1/6/12,15476.24,FALSE
43,2,1/6/12,19748.68,FALSE
44,2,1/6/12,10350.48,FALSE
45,2,1/6/12,35149.33,FALSE
